檔案: chair_001_01.obj, 預測類別: 0, 機率: [0.9941, 0.005, 0.0009]
檔案: chair_001_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_03.obj, 預測類別: 0, 機率: [0.9993, 0.0, 0.0007]
檔案: chair_001_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_06.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_07.obj, 預測類別: 0, 機率: [0.9985, 0.0006, 0.0009]
檔案: chair_001_08.obj, 預測類別: 0, 機率: [0.9382, 0.0225, 0.0393]
檔案: chair_001_09.obj, 預測類別: 0, 機率: [0.9987, 0.0007, 0.0006]
檔案: chair_001_10.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_11.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_12.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_13.obj, 預測類別: 0, 機率: [0.9999, 0.0001, 0.0]
檔案: chair_001_14.obj, 預測類別: 0, 機率: [0.9998, 0.0002, 0.0001]
檔案: chair_001_15.obj, 預測類別: 0, 機率: [0.9984, 0.0011, 0.0005]
檔案: chair_001_16.obj, 預測類別: 0, 機率: [0.9571, 0.0412, 0.0017]
檔案: chair_001_17.obj, 預測類別: 0, 機率: [0.9987, 0.0013, 0.0]
檔案: chair_001_18.obj, 預測類別: 0, 機率: [0.9942, 0.0057, 0.0001]
檔案: chair_001_19.obj, 預測類別: 0, 機率: [0.9995, 0.0005, 0.0]
檔案: chair_001_20.obj, 預測類別: 0, 機率: [0.9992, 0.0008, 0.0]
檔案: chair_001_21.obj, 預測類別: 0, 機率: [0.9952, 0.0047, 0.0001]
檔案: chair_001_22.obj, 預測類別: 0, 機率: [0.9866, 0.0132, 0.0003]
檔案: chair_001_23.obj, 預測類別: 0, 機率: [0.9878, 0.0113, 0.0009]
檔案: chair_001_24.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_001_25.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_011_01.obj, 預測類別: 1, 機率: [0.0035, 0.9964, 0.0001]
檔案: chair_011_02.obj, 預測類別: 1, 機率: [0.0352, 0.9463, 0.0186]
檔案: chair_011_03.obj, 預測類別: 1, 機率: [0.0209, 0.9755, 0.0036]
檔案: chair_011_04.obj, 預測類別: 1, 機率: [0.0185, 0.9791, 0.0025]
檔案: chair_011_05.obj, 預測類別: 1, 機率: [0.0075, 0.9916, 0.0009]
檔案: chair_011_06.obj, 預測類別: 0, 機率: [0.9607, 0.0091, 0.0302]
檔案: chair_011_07.obj, 預測類別: 0, 機率: [0.9752, 0.0059, 0.0189]
檔案: chair_011_08.obj, 預測類別: 0, 機率: [0.9992, 0.0003, 0.0005]
檔案: chair_011_09.obj, 預測類別: 0, 機率: [0.9836, 0.0003, 0.0161]
檔案: chair_011_10.obj, 預測類別: 0, 機率: [0.9977, 0.0014, 0.0009]
檔案: chair_015_01.obj, 預測類別: 0, 機率: [0.9985, 0.0015, 0.0]
檔案: chair_015_02.obj, 預測類別: 0, 機率: [0.9353, 0.0642, 0.0005]
檔案: chair_015_03.obj, 預測類別: 0, 機率: [0.9998, 0.0002, 0.0]
檔案: chair_015_04.obj, 預測類別: 1, 機率: [0.0347, 0.9652, 0.0001]
檔案: chair_015_05.obj, 預測類別: 0, 機率: [0.9954, 0.0043, 0.0003]
檔案: chair_015_06.obj, 預測類別: 0, 機率: [0.9852, 0.0141, 0.0007]
檔案: chair_015_07.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_015_08.obj, 預測類別: 0, 機率: [0.9992, 0.0, 0.0008]
檔案: chair_015_09.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_015_10.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_018_01.obj, 預測類別: 1, 機率: [0.0064, 0.9922, 0.0014]
檔案: chair_018_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_018_03.obj, 預測類別: 0, 機率: [0.9989, 0.0, 0.0011]
檔案: chair_018_04.obj, 預測類別: 0, 機率: [0.9976, 0.0002, 0.0022]
檔案: chair_018_05.obj, 預測類別: 0, 機率: [0.9893, 0.003, 0.0077]
檔案: chair_018_06.obj, 預測類別: 0, 機率: [0.9998, 0.0002, 0.0001]
檔案: chair_018_07.obj, 預測類別: 0, 機率: [0.9773, 0.0223, 0.0005]
檔案: chair_018_08.obj, 預測類別: 0, 機率: [0.9985, 0.0014, 0.0002]
檔案: chair_018_09.obj, 預測類別: 0, 機率: [0.9508, 0.0457, 0.0035]
檔案: chair_019_01.obj, 預測類別: 1, 機率: [0.0025, 0.9975, 0.0]
檔案: chair_019_02.obj, 預測類別: 1, 機率: [0.0004, 0.9996, 0.0]
檔案: chair_019_03.obj, 預測類別: 1, 機率: [0.0, 1.0, 0.0]
檔案: chair_019_04.obj, 預測類別: 1, 機率: [0.0002, 0.9995, 0.0003]
檔案: chair_019_05.obj, 預測類別: 1, 機率: [0.0007, 0.9965, 0.0028]
檔案: chair_019_06.obj, 預測類別: 1, 機率: [0.001, 0.9974, 0.0016]
檔案: chair_019_07.obj, 預測類別: 1, 機率: [0.0012, 0.9973, 0.0016]
檔案: chair_019_08.obj, 預測類別: 1, 機率: [0.0, 1.0, 0.0]
檔案: chair_019_09.obj, 預測類別: 0, 機率: [0.8614, 0.0008, 0.1378]
檔案: chair_019_10.obj, 預測類別: 0, 機率: [0.8096, 0.0001, 0.1903]
檔案: chair_019_11.obj, 預測類別: 0, 機率: [0.9775, 0.0003, 0.0221]
檔案: chair_019_12.obj, 預測類別: 0, 機率: [0.9533, 0.0122, 0.0345]
檔案: chair_019_13.obj, 預測類別: 0, 機率: [0.9999, 0.0, 0.0]
檔案: chair_019_14.obj, 預測類別: 0, 機率: [0.9934, 0.0006, 0.006]
檔案: chair_023_01.obj, 預測類別: 1, 機率: [0.0041, 0.9951, 0.0009]
檔案: chair_023_02.obj, 預測類別: 1, 機率: [0.0052, 0.9933, 0.0016]
檔案: chair_023_03.obj, 預測類別: 1, 機率: [0.0076, 0.9883, 0.0041]
檔案: chair_023_04.obj, 預測類別: 1, 機率: [0.0053, 0.9905, 0.0042]
檔案: chair_023_05.obj, 預測類別: 2, 機率: [0.1671, 0.0856, 0.7473]
檔案: chair_023_06.obj, 預測類別: 0, 機率: [0.9864, 0.0, 0.0136]
檔案: chair_023_07.obj, 預測類別: 0, 機率: [0.9928, 0.0001, 0.0072]
檔案: chair_023_08.obj, 預測類別: 0, 機率: [0.9991, 0.0, 0.0009]
檔案: chair_023_09.obj, 預測類別: 0, 機率: [0.9986, 0.0, 0.0014]
檔案: chair_026_01.obj, 預測類別: 1, 機率: [0.1173, 0.8822, 0.0005]
檔案: chair_026_02.obj, 預測類別: 1, 機率: [0.0016, 0.9967, 0.0018]
檔案: chair_026_03.obj, 預測類別: 1, 機率: [0.0011, 0.998, 0.0009]
檔案: chair_026_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_026_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_026_06.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_026_07.obj, 預測類別: 0, 機率: [0.9998, 0.0001, 0.0001]
檔案: chair_027_01.obj, 預測類別: 1, 機率: [0.1301, 0.8659, 0.004]
檔案: chair_027_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_027_03.obj, 預測類別: 0, 機率: [0.9952, 0.0018, 0.003]
檔案: chair_027_04.obj, 預測類別: 1, 機率: [0.1053, 0.872, 0.0227]
檔案: chair_027_05.obj, 預測類別: 0, 機率: [0.9994, 0.0003, 0.0003]
檔案: chair_027_06.obj, 預測類別: 0, 機率: [0.9945, 0.0045, 0.001]
檔案: chair_027_07.obj, 預測類別: 0, 機率: [0.9999, 0.0, 0.0001]
檔案: chair_027_08.obj, 預測類別: 0, 機率: [0.9997, 0.0, 0.0003]
